UUID,boundary_strategy_default,boundary_strategy_jet,boundary_strategy_consistent,gray_1d_counted,gray_1d_placed,gray_2d_counted,gray_2d_placed,gray_complex_counted,gray_complex_placed,kindlmann_1d_counted,kindlmann_1d_placed,kindlmann_2d_counted,kindlmann_2d_placed,kindlmann_complex_counted,kindlmann_complex_placed,default_1d_counted,default_1d_placed,default_2d_counted,default_2d_placed,default_complex_counted,default_complex_placed,jet_1d_counted,jet_1d_placed,jet_2d_counted,jet_2d_placed,jet_complex_counted,jet_complex_placed
0e91f1b1-d756-44e9-950e-c3a815435b2b,False,False,True,6,6,4,4,6,6,11,11,7,8,11,10,7,7,7,7,7,7,8,8,9,9,7,8
296bdda0-a5fe-4f07-8e8d-9b7b3a006723,True,True,True,9,9,6,6,4,4,5,5,4,4,5,5,6,6,5,5,7,5,4,4,5,5,6,6
88c803fb-7bed-4df9-87e3-598a4b424a87,True,True,True,7,7,6,6,8,8,5,5,8,8,8,8,6,6,8,8,6,6,5,5,8,8,7,8
7f2d8cfd-94ec-48b0-ba0c-6eaeb1180531,False,True,False,10,13,6,6,4,4,8,8,7,10,6,6,9,10,7,7,7,8,10,10,10,10,8,8
cee889af-f7c0-4a27-80e2-4fe06c7af4bc,True,True,True,4,3,4,2,4,3,5,4,6,5,6,5,6,5,7,6,6,5,6,5,10,9,9,8
fb38d01b-bac1-4c36-bedc-0ce92a5b19a2,False,False,True,5,5,3,3,6,6,6,6,6,6,7,7,7,7,7,7,12,12,10,10,9,9,7,7
58d90676-1b2e-4d0d-be3c-b3f5b6ac5c3e,False,True,False,3,3,3,3,3,3,5,5,6,7,4,4,6,6,5,5,5,5,5,5,8,8,6,6
101a4214-8453-4ce7-8a75-e2e87379e327,False,True,False,6,6,5,5,5,5,10,10,9,10,6,7,6,6,7,7,7,7,9,10,9,10,9,9
4b6d6f3f-d44b-43a4-ab2b-db419c7c95b4,False,True,False,6,7,6,6,5,8,8,9,7,7,9,11,7,6,7,6,9,6,8,8,9,9,8,9
7f9277d3-62cf-4729-a47b-22fc462b6afb,False,True,False,4,4,3,3,3,3,6,6,5,6,5,5,6,5,6,5,4,4,5,5,6,6,6,6
804a19ef-02fc-4c14-9373-9f7e255b0ed2,False,False,True,2,2,2,2,3,3,5,5,6,6,5,4,4,4,4,4,3,3,3,3,5,5,4,4
9229247b-f93a-4bd4-a47a-08ccc1addf2c,True,False,False,15,15,21,18,11,13,20,22,15,14,14,15,17,18,12,12,13,12,13,14,13,14,12,13
1f1c7408-dbc0-429a-82c5-48b74448380f,False,False,True,12,13,6,6,5,6,8,9,9,9,5,5,6,8,7,6,6,6,11,12,10,10,8,8
37397209-ac24-45cd-ad1f-22cbfca528ba,False,False,True,9,8,7,7,4,4,8,10,10,10,5,8,6,8,7,9,7,9,11,11,7,8,7,6
ba11acb4-0a49-4994-8ea6-bde0f4ddf7cd,True,True,True,0,0,2,2,3,3,5,5,5,5,6,5,4,4,4,5,4,4,5,4,6,5,5,4
85632aea-afb6-405c-87de-1dcaefa9f6b9,True,True,True,4,6,3,3,4,4,6,6,4,4,5,5,7,7,7,7,5,6,8,9,7,7,7,7
1f5b2b66-aa4c-48b3-9cea-7b1490bcd126,False,False,True,12,12,11,8,11,12,13,26,11,13,16,17,10,9,7,10,7,9,11,13,12,12,10,12
6fac6fc3-e234-4b37-b5ef-1129998b7ffd,True,False,False,20,19,24,26,6,6,5,5,5,5,4,6,6,6,6,7,6,6,6,6,10,10,6,8
9f991ecf-68ee-468d-aa5b-5e0bac899520,False,False,True,4,3,4,4,5,4,7,6,7,8,6,5,9,8,7,6,8,7,11,10,9,8,9,8
b3e0516c-dbee-4639-8745-edc739e29ca9,False,False,True,5,4,4,3,4,3,7,6,8,7,8,7,7,6,7,6,7,6,10,9,8,7,9,8
873c0095-6691-42df-b8e6-5a49d427dac7,False,False,True,8,8,6,6,4,4,8,8,7,8,7,6,7,5,7,6,5,4,11,10,9,10,7,8
9a210838-5865-4ce1-81d1-afb0ff5629d3,False,False,True,3,3,3,3,5,4,6,5,5,6,7,6,5,5,6,6,6,7,7,7,10,10,10,9
47446275-c491-44db-9b55-c3759d661224,True,False,False,3,7,4,6,5,7,6,5,7,9,6,6,5,5,6,6,5,5,7,6,6,6,6,6
1fd70f95-9e03-4dc1-bccd-14814d52a54f,False,False,True,10,11,3,3,7,8,15,15,14,13,13,13,8,7,7,7,7,8,8,8,15,15,12,12
951cbe28-5380-4b9a-b517-12dee9098ead,False,True,False,2,1,2,2,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,4,4
